District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,,,,,,
,CA,"San Jose, CA ",252,254,1999,1999,"37.261593,-121.879696",1,,NASA Ames/Cypress Semiconductor/ Broadway HS,,,,,,,
0,CA,"Millbrae, CA ",253,154,2017,1999,"37.595192,-122.390227",1,,SMUHSD / Brin Wojcicki Foundation & Mills High,,,,,,,
0,CA,"San Jose, CA ",254,252,2017,1999,"37.261355,-121.879485",1,,NASA/NASA Ames Research Center/Apple/Google/Innovation First International/Analog Devices/AMEX Plating/BAE Systems/The Wong Family/Brin Wojcicki Foundation/Lockheed Martin/West Coast Products/Qualcomm/Intuitive Surgical/Cisco/Gilbert Spray Coat/Applied Welding/Dropbox/Orange Vise Company/Four-D Metal Finishing/Vivid-Hosting & Bellarmine College Preparatory,All male team,,,,,,
,CA,"San Jose, CA ",255,,2002,1999,"37.292491,-121.83138",1,,NASA ARC & East Side Union High School District,,,,,,,
0,CA,"San Jose, CA ",256,,2017,1999,"37.290836,-121.89772",1,,Apple/Brin Wojcicki Foundation&Willow Glen High,,,,,,,
,CA,"San Francisco, CA ",257,,1999,1999,"37.713906,-122.475583",1,,NASA Ames Research Center & Brandeis Hillel Day School,,,,,,,
,CA,"San Jose, CA ",258,,2004,1999,"37.329459,-121.923976",1,,"Applied Materials/Evans Precision Machining, Inc. & Lincoln High School",,,,,,,
,CA,"Bell, CA ",259,,2005,1999,"34.041507,-118.174613",1,,Technology & Engineering Academy,,,,,,,
,CA,"Los Angeles, CA ",260,,2001,1999,"34.013903,-118.472101",1,,NASA Ames Research Center & Newbridge High School ,,,,,,,
,CA,"Los Angeles, CA ",261,,2001,1999,"34.027735,-118.156747",1,,NASA Ames Research Center & James A. Garfield High School ,,,,,,,
,MO,"Manchester, MO ",262,,2000,1999,"38.514779,-90.313218",1,,DaimlerChrysler/NASA Langley Research Center & Mehlville Senior High School ,,,,,,,
0,NY,"Sachem, NY ",263,,2017,1999,"40.8392702,-73.1051980",1,,"Retlif Testing Laboratories/Check-Mate Industries, Inc./H.A. Guden Co., Inc./Philip Ross Industries, Inc./Sachem Robotics Team 263 Booster Club/Muller Martini Corp./Bryan Cave/Health Diagnostics Management, LLC/International Union of Operating Engineers/High Tech Brazing, Inc./Robert and Edwina Cox/Gregory and Jeanne Heinemann/Tritech Healthcare Management, LLC&Sachem High Schools North and East",,,,,,,
,MI,"Shelby Twp, MI ",264,,2001,1999,"42.696394,-83.048165",1,,TRW & Eisenhower High School ,,,,,,,
MAR,NJ,"Wanaque, NJ",265,223,2014,2014,"41.059251,-74.282753",1,,Johnson Controls & Lakeland Regional High School,Beta team for 223,,,,,,
,NH,"Milford, NH ",266,A35,2001,1993,"42.826323,-71.660094",1,,Hitchiner Manufacturing & Milford High School ,,,,,,,
,FL,"Boynton Beach, FL ",267,,2004,1999,"26.325576,-80.181956",1,,"Motorola Inc./The R & D Group, Inc./HPE Automation Corp. & North Broward Preparatory School & Coral Springs Christian Academy",,,,,,,
,PA,"Philadelphia, PA ",268,,2001,1999,"40.029168,-75.12278",1,,Lincoln Technical Institute & Olney High School ,,,,,,,
0,WI,"Oconomowoc, WI ",269,,2017,1999,"43.098045,-88.488962",1,,John Deere/3M/GE Volunteers of GE Healthcare/Sharp Packaging Systems/Milwaukee School of Engineering/Society of Manufacturing Engineers&Oconomowoc High,,,,,,,
0,NY,"Deer Park, NY ",270,,2012,1999,"40.7639448,-73.3363788",1,,Deer Park High School & Deer Park School District,,,,,,,
0,NY,"Bay Shore, NY ",271,194,2017,1999,"40.7305450,-73.2530670",1,,Bay Shore Union Free School District /North Atlantic Industries /Sartorius-Stedim/Apple Appliance Repair Inc./United Way/Festo Corporation /BAE Systems/Suffolk Transportation System /Public Metals Corp. /South Country PFA&Bay Shore Senior High School,,,,,,,
MAR,PA,"Lansdale, PA ",272,185,2017,1999,"40.241051,-75.268836",1,,Comcast NBCUniversal/Lockheed Martin/ASI Technologies/SCTE Foundation/Lansdale Cannoneers Sportsman Club /ICON Clinical Research PLC./Glaxo Smith Kline/Remington & Vernick Engineers/Rajant Corporation/SolidWorks/IBEW Local 654&Lansdale Catholic High School,,,,,,,
,NY,"Miller Place, NY ",273,514,1999,1999,"40.95982,-72.99622",1,,Johnson & Johnson & Miller Place HS / North Country Road MS,,,,,,,
,OH,"Cleveland, OH ",274,,2005,1999,"41.430916,-81.721248",1,,Battelle/MBNA Foundation/Cleveland Punch & Die/NASA Glenn & Rhodes High School,,,,,,,
,TX,"Conroe, TX ",275,77,1999,1999,"30.170123,-95.443839",1,,Hitachi Construction Machinery America & Oakridge HS & Academy of Science & Technology,,,,,,,
0,OH,"Youngstown, OH ",276,32,2013,1999,"41.092426,-80.694567",1,,Time Warner Cable/Brainard Rivet Company/Youngstown State University/Youngstown City Schools & Chaney STEM and YEC Robotics,,,,,,,
,NY,"Rochester, NY ",277,"52,578",2000,1999,"43.082569,-77.415416",1,,The Gleason Works & Fairport Schools ,,,,,,,
,FL,"Orlando, FL ",278,,2002,1999,"28.579849,-81.392865",1,,Edgewater High School & Lake Mary High School & University High School & Lake Howell High School & Winter Springs High School,,,,,,,
MI,MI,"Ottawa Lake, MI ",279,,2017,1999,"42.238082,-83.278213",1,,Dana Incorporated & Toledo Technology Academy High School,,,,,,,
MI,MI,"Taylor, MI ",280,,2017,1999,"42.209130,-83.267934",1,,DENSO/Ford Motor Company/DADARA/MDE/AEL Span/ETC - Environmental Testing & Consulting/Taylor Rotary/A-Lot Paving/Taylor Foundation for Educational Excellence&Taylor Career and Technical Center,,,,,,,
0,SC,"Greenville, SC ",281,"91,507",2017,1999,"34.824408,-82.370145",1,,Michelin / Caterpillar / Greenville Technical College / Laserflex South / Baldor / Synnex Corp / ASME & Greenville Technical Charter High & J. L. Mann High Academy & Riverside High & Southside High & Mauldin High & Wade Hampton High & Woodmont High,,,,,,,
,FL,"Winter Park, FL ",282,,2001,1999,"28.703627,-81.26549",1,,NASA Kennedy Space Center/Matern Professional Engineering-The Foundation/Control Technologies/Lucent Technologies/Sandy Engineering & Lake Howell & Winter Springs High School & Orangewood Christian Private ,,,,,,,
,SC,"Greenville, SC USA ",283,,2017,2015,,,,Greenville County Schools / Hamilton Automation / TWL Construction / Home Depot / Lawrence Fabrication / Dixie Rubber / PPG Inc / Pat and MaryLou Hartness / NASA & WADE HAMPTON HIGH & GREENVILLE SENIOR HIGH ACADEMY ,,,,,,,
MAR,PA,"Scranton, PA ",284,143,2009,1999,"41.738753,-75.956039",1,,Elk Lake HS & SCCTC,,,,,,,
,FL,"Satellite, FL ",285,"A176,119",1999,1999,"28.186844,-80.597032",1,,"Harris Corporation/ Florida Institute of Technology/ GSMA Parrish/ Interface & Control Systems, Inc./ NASA-KSC & Satellite HS",,,,,,,
,OH,"Cleveland, OH ",286,,1999,1999,"41.501876,-81.610936",1,,Cleveland Clinic Foundation & John Hay HS,,,,,,,
0,NY,"Mastic Beach, NY ",287,,2017,1999,"40.7803266,-72.8485156",1,,William Floyd High School & William Floyd High School,,,,,,,
MI,MI,"Grandville, MI ",288,"244,216",2017,1999,"42.879636,-85.77006",1,,MH Labs / Hepfer & Associates & Grandville High School,,,,,,,
,MI,"Lansing, MI ",289,,1999,1999,"42.732813,-84.575994",1,,General Motors/ Demmer Corporation & J.W. Sexton HS & Eastern HS,,,,,,,
,FL,"Boca Raton, FL ",290,,1999,1999,"26.383047,-80.145414",1,,Motorola/ Ted's Marine & Saint Andrew's School,,,,,,,
PA-nonMAR,PA,"Erie, PA ",291,,2017,1999,"42.101936,-80.081977",1,,GE Volunteers & Northwest Pa Collegiate Academy,,,,,,,
IN,IN,"Russiaville, IN ",292,,2017,1999,"40.437762,-86.24282",1,,"The Delphi Foundation/FCA Foundation/AndyMark, Inc./GM/Monsanto Fund/Best Buy&Western High School",,,,,,,
MAR,NJ,"Pennington, NJ ",293,142,2017,1999,"40.327897,-74.804055",1,,Bristol-Myers Squibb / Smith Foundation / Hopewell Valley Education Foundation / Continuum Dynamics / SRI International / Onshape / SolidWorks & Hopewell Valley Central High School,,,,,,,
0,CA,"Manhattan Beach, CA ",294,"A1, 164",2017,1999,"33.872932,-118.389482",1,,Northrop Grumman/Google/Raytheon/The Boeing Company/Impresa Aerospace/Cooler Master&Redondo Union High&Mira Costa High,,,,,,,
0,CA,"Granite Bay, CA ",295,,2017,1999,"38.731927,-121.211864",1,,GRANITE BAY HIGH,,,,,,,
0,Canada-QC,"Montreal, QC, Canada ",296,,2017,1999,"45.456944,-73.639721",1,,Hypertherm HOPE Foundation and Robotmaster/Coveloz Consulting/Robotique FIRST Québec/RBC Phillips Hager and North/Universel Security Equipment/Fruiterie Dollard/Today Tomorrow Apparel & Loyola High School & Sacred Heart,,,,,,,
,MI,"Lake Orion, MI USA ",297,,2015,2015,,,,The Chrysler Foundation / Delphi / TI Automotive / The State of Michigan / BAE Systems / Inalfa Roof Systems / The National Defense Education Program / Kostal North America / Anderson Customer Pools / Patti Engineering / Hirotec America / AT&T Michigan / COE Press Equipment / The Lake Orion Lions Club & LAKE ORION COMMUNITY HIGH SCHOOL ,,,,,,,
,CA,"Pleasanton, CA ",298,2446,2002,1999,"37.672363,-121.916377",1,,"KPC&B/Clorox/Adept Technology, Inc & Foothill High School",,,,,,,
,CA,"Cupertino, CA ",299,,2017,,,,,Family/Community & Valkyrie Robotics ,,,,,,,
,PA,"Philadelphia, PA ",300,,2006,1999,"39.957742,-75.219283",1,,West Philadelphia High School - Academy for Automotive and Mechanical Engineering,,,,,,,
,MI,"Dearborn, MI ",301,,2005,1999,"42.308101,-83.263335",1,,Ford Motor Company/m80.net/ArvinMeritor & Dearborn High School & Dearborn High School & Dearborn High School,,,,,,,
MI,MI,"Lake Orion, MI ",302,A202,2017,1997,"42.756151,-83.233001",1,,Delphi/General Motors/FCA Foundation/Kostal North America/MI Dept. of Education/BAE Systems/Anderson Custom Pools/The Productivity Team/AT&T Michigan/ESYS Automation/The Lake Orion Review/Green Light Graphics/The LeTendre Family/Victory Custom Trailers&Lake Orion Community High School,,,,,,,
MAR,NJ,"North Branch, NJ ",303,2577,2017,1999,"40.592377,-74.63275",1,,"Bridgewater-Raritan High School/STS Tire & Auto Centers & Mavis Discount Tires/Picatinny & DOD Stem/Johnson & Johnson Healthcare Systems, Inc./Nokia Bell Labs/VFW Post 2290/Huawei/J&E Metal Fabricators/CSC/303 RAMP/BAE/Rotor Clip/Verizon/Harris&Brdgwtr Raritn High Sch",,,,,,,
MAR,PA,"Philadelphia, PA ",304,,2017,1999,"40.107435,-75.026695",1,,"NRG Energy, Inc. &Washington George Hs",,,,,,,
,NH,"Bedford, NH ",305,"A145,18,509",1999,1999,"42.937103,-71.519537",1,,Northest Innovations/ Diamond Bicycles & Bedford Charter HS,,,,,,,
PA-nonMAR,PA,"Corry, PA ",306,,2015,1999,"41.919475,-79.626758",1,,"Al Xander Company, Inc/Al's Homework/American Legion: Elmer C. Carrier Post 365/Augie's Pizza/Braken Funeral Home/Carney and Ruth Attornies at Law/Corry Micronics/Crotty Chev-Olds Inc./Getgo/Green's Graphics/Mircale Mountain Ranch/MPE Machine Tool Inc./Radio Shack/Rosie Marketing/Xander Company Inc./Corry Contract Inc/Corry Lumber Co./Corry Manufacturing Company/Corry Rubber Corporation/Great Lakes Manufacturing, Inc./Johnson Books & Stuff/Rossbacher Insurance Service/Tonnard Mfg. Corp. & Home School & CORRY AREA HS ",,,,,,,
MI,MI,"Farmington Hills, MI ",308,"A191,162",2017,1999,"42.530149,-83.515411",1,,"FCA Foundation/Engineered Abrasives/ZF TRW/Nissan/Tecla Company, Inc./B&P Process Equipment/Autodesk/Midwest Glass Fabricators/Paragon Model & Tool, Inc./Novi Laser /Keysight Technologies&Walled Lake Central High School&Walled Lake Western High School&Walled Lake Northern High School",,,,,,,
,IL,"Moline, IL ",309,648,2000,1999,"41.538147,-90.627484",1,,Deere & Company/Genesis Systems Group & Davenport West High School & Moline High School & Sherrard High School ,,,,,,,
,NY,"Islip Terrace, NY ",311,,2004,1999,"40.74315,-73.19261",1,,FTK Foundation/Lockheed Martin/Sayville Ford & East Islip High School,,,,,,,
0,FL,"St. Petersburg, FL ",312,"A72,14",2008,1999,"27.717559,-82.652499",1,,Baxter Healthcare of Tampa Bay & Lakewood High School,,,,,,,
MI,MI,"Wayne, MI ",313,,2017,1999,"42.28731,-83.374262",1,,DADARA/Ford Motor Company/DENSO International/The Oakwood Group/Inkorprate Graphics&Wayne Memorial High School,,,,,,,
MI,MI,"Flint, MI ",314,,2017,1999,"43.006917,-83.732067",1,,"GM Manufacturing/Kettering University/FCA Foundation/Shaltz Automation/Local 370 Plumbers & Pipefitters/Flint Glass Service/Mid States Bolt & Screw/LEONI/A Frame Awards, Inc./Mid-Michigan Robotics Alliance/Interstate Batteries&Carman-Ainsworth High School",,,,,,,
,MI,"Detroit, MI ",315,"161,2050",2000,1999,"42.338395,-83.059293",1,,"Ford Motor Company/Diversified Chemical Technologies/DENSO & Cass Tech High School, Central High School, Chadsey High School, Martin Luther King High School, Mumford High School, Murray High School, Northern High School, Renaissance High School, Southeast",,,,,,,
MAR,NJ,"Deepwater, NJ ",316,,2017,1999,"39.683022,-75.491432",0,,Microsoft/Picatinny Arsenal/DuPont/The Boeing Company/Salem County Community College&South Jersey Robotics Inc,,,,,,,
,TX,"Fort Worth, TX ",317,,2002,1999,"32.730993,-97.387694",1,,Lockheed Martin/Intel & Arlington Heights High School,,,,,,,
NE,NH,"Alton, NH ",319,A93,2017,1996,"43.437465,-71.213379",1,,Symbotic/SPS New England/Podmore Manufacturing/NDEP/OPTICS 1&Prospect Mountain High School,,,,,,,
,IA,"Des Moines, IA ",320,,1999,1999,"41.583834,-93.641806",1,,Avon/ Compressor Controls Corporation/ John Deere/ Townsend Engineering & Central Campus,,,,,,,
MAR,PA,"Philadelphia, PA ",321,920,2017,1999,"40.056576,-75.161183",1,,Associated Alumni of Central High School/University of Pennsylvania/Drexel University/Comcast/DoD STEM/Central High School Home and School Association & Central Hs,,,,,,,
MI,MI,"Flint, MI ",322,,2017,1999,"43.036164,-83.736012",1,,General Motors/Axalta/Huntington Bank/Home Depot/Gaines Jewelry/Hilton Screeners/State of Michigan/Flint Community Schools&Northwestern High School&Southwestern Academy&Mott Middle College High School,,,,,,,
MI,MI,"Romulus, MI ",326,,2013,1999,"42.215964,-83.382203",1,,General Motors Romulus Engine Plant / jcpenney & Romulus Community Schools,,,,,,,
0,NY,"Medford, NY ",329,,2017,1999,"40.8095947,-72.9900572",1,,Zebra Technologies & Patchogue-Medford High School,,,,,,,
0,CA,"El Segundo, CA ",330,"A1,82",2017,1999,"33.871518,-118.394281",1,,NASA/Boeing/NASA-JPL/Raytheon/J&F Machine & Hope Chapel Academy,Homeschooled,,,,,,
,NY,"New York, NY ",331,,2006,1999,"40.735374,-73.987873",1,,Consolidated Edison & Washington Irving HS,,,,,,,
,IA,"Cedar Falls, IA ",332,525,1999,1999,"42.533825,-92.471237",0,,General Motors Powertrain/ITT Technical Institute & Flint Community Schools,,sat out 2000,,,,,
0,NY,"Brooklyn, NY ",333,,2017,1999,"40.589263,-73.981835",1,,Bloomberg / Pershing Square Foundation / LeNoble Lumber / T's ME Shirt Screening & John Dewey High School,,,,,,,
0,NY,"Brooklyn, NY ",334,,2017,1999,"40.688872,-73.976438",1,,"Con Edison/Brooklyn Tech Alumni Foundation, Inc./Google/Boeing/Old Mission Capital/GIBC Digital&Brooklyn Technical High School",,,,,,,
0,NY,"Brooklyn, NY ",335,,2017,1999,"40.687252,-73.979666",1,,Con Edison/Pershing Square Foundation/Bezos Foundation/MTA-NYC Transit Authority/Polytech/City Tech & Science Skills Center High School at Waters Edge,,,,,,,
,VA,"Reston, VA ",336,116,1999,1999,"38.933545,-77.338845",1,,Robotics International - Chapter #303/ Best Software & South Lakes HS,,,,,,,
0,WV,"Logan, WV ",337,,2017,2000,"37.826938,-81.942869",1,,Logan County Schools/WV Department of Adult-Technical Programs/Ralph R Willis Career & Technical Center/Logan County Commission/Alpha Natural Resources/Vance Enterprise/American Electric Power/Mollett Welding & Ralph R. Willis Vocational Center & Logan High School & Logan County Schools & Chapmanville Sr High School & Man Senior High School,,,,,,,
,NC,"West Jefferson, NC ",338,,2001,2000,"36.392264,-81.478117",1,,"NASA Langley Research Center/NuSun, Inc./Leviton/Gates Rubber Company/United Chem-Con Corporation & Ashe Campus Wilkes Community College & Ashe County High School ",,,,,,,
0,VA,"Stafford, VA ",339,,2017,2000,"38.294543,-77.576759",1,,"NDEP/Simventions/Stafford County Economic Development Authority/Fredericksburg PC Users Group/Lockheed Martin/NAVSEA Dahlgren/CGS PTO/Army Night Vision Lab, Fort Belvoir/Northrup Grumman & Commonwealth Gov .Sch.",,,,,,,
0,NY,"Rochester, NY ",340,424,2017,2000,"43.119186,-77.833596",1,,Bausch & Lomb Incorporated/Senator Michael Ranzenhofer/C&M Forwarding/Genesee Environmental LLC/Frontier Communications Corporation&Churchville-Chili Senior High School,,,,,,,
MAR,PA,"Ambler, PA ",341,1455,2017,2000,"40.171545,-75.229118",1,,DOW Chemical / Comcast / The Boeing Company / BAE Systems / Lockheed Martin / Cobham Defense Electronics / Janssen Biotech Inc. / Johnson & Johnson / Society of Women Engineers / D.i.D. Agency / Blue Bell Technologies / Denney Electric Supply & Wissahickon Shs,,,,,,,
0,SC,"North Charleston, SC ",342,,2017,2000,"32.926644,-80.110824",1,,"BOSCH/Robert Bosch, LLC/Dorchester County School District/SPAWAR/Dorchester County Council & Fort Dorchester High",,,,,,,
0,SC,"Seneca, SC ",343,,2017,2000,"34.675402,-82.988478",1,,"NASA/Itron, Inc./Duke Energy/Schneider Electric Company & School District of Oconee County",,,,,,,
,VA,"Hampton, VA ",344,"A177,122,2028",2000,2000,"37.033661,-76.317282",1,,Virginia Business Education Partnership/Hampton City Schools & Phoebus High School ,,,,,,,
,VA,"Norfolk, VA ",345,,2007,2000,"36.868601,-76.211113",1,,Ford & NORSTAR,,,,,,,
0,VA,"Chesterfield, VA ",346,,2017,2000,"37.389648,-77.493598",1,,Rotary Club of Chester / GE / DuPont / EPI & Lloyd C Bird High,,,,,,,
,NY,"Bronx, NY ",347,,2000,2000,"40.859712,-73.887578",1,,"Chase Manhattan Bank/Ethicon, Inc./City College Department of Mechanical Engineering/ASME & Theodore Roosevelt High School ",,,,,,,
NE,MA,"Norwell, MA ",348,,2017,2000,"42.156327,-70.83752",1,,Joseph's Garage/Mass Bay Engineering/Society of American Military Engineers (S.A.M.E.)/Bonded Transmission & Norwell High School,,,,,,,
,MI,"Bloomfield Hills, MI ",349,"163,469",2001,2000,"42.603547,-83.226113",1,,Ford Motor Company & International Academy ,,,,,,,
NE,NH,"Hampstead, NH ",350,,2008,2000,"42.844055,-71.115962",1,,Analog Devices/Ward Fabrication/Raytheon & Timberlane Regional High School,,,,,,,
,FL,"Orange Park, FL ",351,,2001,2000,"29.982069,-81.712222",1,,"NASA Kennedy Space Center/Iluka Resources, Inc. & Clay High School ",,,,,,,
0,NY,"Carle Place, NY ",352,,2017,2000,"40.7540909,-73.6052542",1,,Lockheed Martin & Carle Place Middle Senior High School,,,,,,,
0,NY,"Plainview, NY ",353,,2017,2000,"40.7827802,-73.4597568",1,,Trio Hardware/Bloomberg L.P./B & Z Steel Equipment Co. Inc./Just Shelf It/Shoreline Beverage/Family Bagel/Gershow Recycling/Dr. Raphael Strauss Allergy & Asthma/Star Kitchen & Plainview-Old Bethpage/Jfk High School,,,,,,,
0,NY,"Brooklyn, NY ",354,2681,2017,2000,"40.695386,-73.98534",1,,Bloomberg & George Westinghouse Career & Technical Ed High Sch,,,,,,,
,TX,"Marlin, TX ",355,,2000,2000,"31.313498,-96.879094",1,,NASA Johnson Space Center/Texas State Technical College/Fallas Automation Inc./Raytheon & Marlin High School ,,,,,,,
,AR,"Little Rock, AR ",356,,2005,2000,"34.673435,-92.25239",1,,Hendrix College/Arkansas Space Grant Consortium/IGUS/UALR & Parkview & Pulaski County Schools,,,,,,,
MAR,PA,"Drexel Hill, PA ",357,,2015,2000,"39.957024,-75.285423",1,,The Boeing Company / Upper Darby Education and Arts Foundation / eStop Robotics & UPPER DARBY SHS ,,,,,,,
0,NY,"Hauppauge, NY ",358,,2017,2000,"40.8230889,-73.1997221",1,,GE Volunteers of GE Healthcare & Hauppauge High School,,,,,,,
0,HI,"Waialua, HI ",359,,2017,2000,"21.565698,-158.12577",1,,"State of Hawaii REACH STEM Grant/McInerny Foundation/Castle & Cooke, Inc. Dole Plantation/FirstWind Hawaii/Hawaiian Electric Company/Waialua Federal Credit Union/Pioneer Hi-Bred International/HawaiiUSA Federal Credit Union/Randy and Mary Wood/LockHeed Martin/Turtle Bay Foundation/Oakley, Inc./Golf Concepts-Nike/Skydive Hawaii/McDonalds of Hawaii/PHNSY & IMF/Waialua Hongwanji Mission/Monsanto Hawaii/BAE Systems/Arthur Kobayashi, OD/Waialua High School Foundation/Haleiwa Shingon Mission/Island X Hawaii/HI Central North Complex/R.M. Towill Foundation/Friends of Hawaii Robotics/The Oishi Family/Kalaeloa Partners LP/United Launch Alliance/Waialua Lions Club/Oceanic Time Warner Cable/Chevron Hawaii/HECO Matching Grant/Dole Food Company of Hawaii/Hawaii Visitors Bureau/Coca Cola Hawaii/Kenneth Koga/Kiyoshi Takenaka/Matsuo Takabuki/Team Real Estate/North Shore Chamber of Commerce/Yoshi Yonemura/Clyde and Sarah Miyataki/T.S. Hong/Gordon and Evelyn Kuwada/Sunset Homes LLC & Waialua High & Interm",,,,,,,
PNW,WA,"Puyallup, WA ",360,,2017,2000,"47.205601,-122.229447",1,,The Boeing Company/Friends of Bellarmine Robotics/Islam Family Foundation/Tacoma Steel Supply/Google/Washington FIRST Robotics/Kel-Tech Plastics/The Rudolph Family/SPEEA Local 2001/The Ross Family/The Murphy Family/Clover Park Technical College/Boeing Employee Credit Union/Rotary of Clover Park/Bamford Foundation/Multicare/State Farm Insurance/Bertolino's Coffee Bar/AREVA Federal Services LLC&Bellarmine Preparatory School,,,,,,,
,NY,"Farmindale, NY ",361,,2001,2000,"40.731870,-73.445730",1,,Computer Associates/KeySpan Energy & Farmingdale Schools ,,,,,,,
0,CA,"Los Angeles, CA ",362,,2011,2000,"34.065007,-118.472439",1,,Northrop Grumman/Raytheon & The Archer School for Girls,All female team,,,,,,
0,MS,"Gulfport, MS ",364,,2017,2000,"30.388518,-89.04167",1,,NASA/NASA Stennis Space Center/Mississippi Power/AVL/Barnes & Noble/DS SolidWorks/Walmart/Raising Canes/Sulfur Operations Support/SEAONE/Holifield Engineering Inc & Gulfport High School,,,,,,,
MAR,DE,"Wilmington, DE ",365,,2017,2000,"39.752522,-75.691524",1,,DuPont Engineering/Verizon Foundation/On-Board Engineering/The Boeing Company/Southco/United Therapeutics Corporation/First State Robotics & Neighborhood Group,501(c)3,,,,,,
,MI,"Troy, MI ",366,226,2000,2000,"42.582322,-83.111847",1,,Visteon Automotive & Athens High School & Troy School District ,,,,,,,
,DE,"Seaford, DE ",367,,2002,2000,"38.651743,-75.614595",1,,Dupont/Seaford Machine Works/JRM High Performance Machine & Seaford High School,,,,,,,
0,HI,"Honolulu, HI ",368,,2017,2000,"21.298521,-157.848445",1,,Hawaiian Electric Company/RHT Enterprise/Monsanto Hawaii/DOD STEM/Min Plastics/Industrial Electronics/Many wonderful anonymous donors full of Aloha&President William Mckinley High School,,,,,,,
0,NY,"Brooklyn, NY ",369,,2017,2000,"40.583249,-73.963747",1,,Bloomberg & William E Grady Career and Technical Education Hig & Rachel Carson High School for Coastal Studies,,,,,,,
0,NY,"Staten Island, NY ",371,,2017,2000,"40.644749,-74.081181",1,,Con Edison&Curtis High School,,,,,,,
PNW,WA,"Mukilteo, WA ",372,,2012,2000,"47.898382,-122.300307",1,,The Boeing Company/ITT Technical Institute -1615 75th Street SW/Electroimpact & Kamiak High School,,,,,,,
,NY,"Locust Valley, NY ",373,,2004,2000,"40.87593,-73.59707",1,,Locust Valley High School,,,,,,,
,AK,"Anchorage, AK ",374,,2004,2000,"61.200723,-149.804462",1,,SPE/AeroTwin & East Anchorage HS & Chugiak High School,,,,,,,
0,NY,"Staten Island, NY ",375,,2016,2000,"40.567929,-74.115695",1,,Con Edison/New Jersey-New York Port Authority & Staten Island Technical High School ,Teacher retired,,,,,,
,CA,"Newark, CA ",376,,2003,2000,"37.521587,-122.002798",1,,InVision Technologies/Pete Weber Performance Products/Stanford University & Newark Memorial High School,,,,,,,
,IN,"Connersville, IN ",377,,2001,2000,"39.636354,-85.160944",1,,Visteon & Connersville High School ,,,,,,,
0,NY,"Lockport, NY ",378,1507,2017,2000,"43.286674,-78.695721",1,,"MAHLE Behr/Delphi Foundation/GM Components Holdings, LLC/Newfane Lions Club/Olcott Lions Club/Newfane Central Schools&Newfane Senior High School",,,,,,,
0,OH,"Warren, OH ",379,,2017,2000,"41.142069,-80.694719",1,,Delphi /Youngstown Electric Supply Company (YESCO)/Home Savings & Loan Foundation/Ron Robinson/Girard-Liberty Rotary Club/General Motors Foundation&Girard Sr High School,,,,,,,
0,NY,"Bronx, NY ",380,,2010,2000,"40.810452,-73.906762",1,,Consolidated Edison/Pershing Square. & Samuel Gompers High School,,,,,,,
MAR,NJ,"Trenton, NJ ",381,,2008,2000,"40.219845,-74.743257",1,,Bristol Myers Squibb & Trenton Central High School,,,,,,,
,OH,"Columbus, OH ",382,,2006,2000,"39.966043,-82.908539",1,,American Electric Power/Batelle/Columbus State Community College & Eastmoor Academy High School,,,,,,,
0,Brazil,"Porto Alegre RS, Brazil ",383,,2017,2000,"-30.027704,-51.228735",0,,Dorvo Maquinas/Metalaser & Provincia de Sao Pedro HS,,,,,,,
0,VA,"Richmond, VA ",384,,2017,2000,"37.62948,-77.548403",1,,Flexicell / GE Volunteers / ShowBest Fixture Corp. / Hermitage Automation / SkyFoundry LLC / Whiteboard Geeks / Slurry Pavers / Henrico Co. Education Foundation / Solidworks & Tucker High,,,,,,,
0,FL,"Palm Bay, FL ",386,"425,2023,3332",2017,2000,"28.186854,-80.597032",1,,Tippmann Innovation/Raytheon/School Board of Brevard County/DRS Network & Imaging Systems/GE/Rockwell Collins/Total Travel Marine/VRCimenatic/The State of Florida/Florida Breeze/NASA GSDO&Melbourne Senior High School,,,,,,,
0,VA,"Grundy, VA ",388,,2015,2000,"37.284097,-82.063394",1,,Consol Energy/Terra Tech Engineering/Two-Way Radio/AEP & GRUNDY HIGH & HURLEY HIGH & TWIN VALLEY HIGH & COUNCIL HIGH ,,,,,,,
,TX,"El Paso, TX ",390,,2000,2000,"31.730157,-106.275737",1,,NASA Johnson Space Center/University of El Paso & Americas High School ,,,,,,,
,MI,"Grand Rapids, MI ",391,,2005,2000,"42.965672,-85.658748",1,,Siemens Logistics & Assembly & Grand Rapids Central H. S.,,,,,,,
,SC,"Clover, SC ",392,1539,2000,2000,"35.096667,-81.18257",1,,NASA Langley Research Center/York Technical College & Clover High School ,,,,,,,
IN,IN,"Morristown, IN ",393,,2010,2000,"39.672474,-85.701553",1,,"Rolls-Royce Corp. / Indiana Department of Workforce Development / Triumph Fabrications / Blue River Community Foundation / Bunge Morristown, IN & Morristown High School",,,,,,,
,CT,"Windsor, CT ",394,,2002,2000,"41.843709,-72.655662",1,,ALSTOM Power & Windsor High School,,,,,,,
0,NY,"Bronx, NY ",395,,2017,2000,"40.827246,-73.904322",1,,Bloomberg/Port Authority of NY & NJ/The New York Yankees/S&P Global/Columbia University&Morris Academy for Collaborative Studies&Columbia Secondary School&School for Excellence,,,,,,,
